Run,Training Time (s),RMSE_2020,MAE_2020,R²_2020,NMAE_2020,NRMSE_2020,RMSE_2021,MAE_2021,R²_2021,NMAE_2021,NRMSE_2021,RMSE_2022,MAE_2022,R²_2022,NMAE_2022,NRMSE_2022
1,0.43414878845214844,2629.794831293843,2251.984847530242,0.9693560842410378,0.06254437433115226,0.07303729086941058,3045.947186956077,2612.012865423387,0.9616004310764588,0.07109561161410353,0.08290674256146852,2563.028119743709,2224.4064831149194,0.970334216066546,0.060483025830544525,0.06969036331605671
2,0.4570026397705078,2644.9410292281223,2250.6754347278224,0.9690020829307643,0.06250800800987867,0.07345794621899439,3099.5885423307327,2641.457169858871,0.9602360329893436,0.07189704749525999,0.08436679087082187,2669.343065307204,2264.449036038306,0.9678220869697308,0.06157180829057165,0.07258113424641531
3,0.440201997756958,2574.7881022129677,2224.566469254032,0.9706246187289863,0.061782883721505796,0.0715095890031482,3069.6048771053147,2623.2255922379036,0.9610016202849693,0.07140080753457259,0.08355067428661504,2562.2024809257655,2164.3186113911297,0.9703533257107517,0.05884919841403602,0.06966791367192403
4,0.417816162109375,2710.456173510487,2274.1800340221776,0.9674474283384213,0.06316080123732074,0.07527749829673129,3194.6788106478,2737.942924647177,0.9577588227305086,0.07452326493833951,0.08695502497718616,2751.0308571440505,2304.671811995968,0.9658225221324198,0.06266549112942793,0.07480227721700648
5,0.42473268508911133,2585.535322278104,2230.8516885080644,0.9703788800107729,0.06195744311350555,0.07180807154201178,3099.9389746974757,2677.6800781250004,0.9602270412353825,0.07288298820470768,0.08437632918656784,2511.417519158553,2139.4441091229846,0.9715169215343766,0.0581728448902415,0.06828703828890131
6,0.41811037063598633,2675.489070304782,2299.3602255544356,0.9682819202163554,0.06386013068736159,0.07430635695243135,3141.4709472139625,2702.3000000000006,0.9591541717923664,0.07355311063280333,0.08550677575774933,2637.473455264644,2150.8958417338713,0.9685858522450601,0.058484224777220976,0.07171457929701852
7,0.41354846954345703,2676.85759951982,2326.4508253528224,0.9682494639295287,0.06461251790546563,0.07434436511381054,3140.6836232518094,2655.3729586693553,0.9591746430110833,0.07227581726690646,0.08548534581788621,2708.7843542779797,2202.9799332157263,0.9668641624845091,0.059900424322749245,0.07365356795748275
8,0.41257548332214355,2618.851180835602,2231.8502394153224,0.969610597271087,0.06198517586748068,0.0727333528693125,3044.0550500165295,2619.514314516129,0.9616481237454975,0.07129979135544418,0.08285524104141265,2589.8427313115367,2227.406520917339,0.9697102372368923,0.06056459876484126,0.07041946964460051
9,0.4047980308532715,2630.417637595728,2269.7716103830644,0.9693415679118019,0.06303836608923465,0.07305458806860071,3070.6552320109145,2634.2218560987912,0.960974926850941,0.07170011161343406,0.08357926358853389,2596.8460691631394,2194.334097782258,0.9695461992781227,0.05966533856310121,0.07060989485123152
10,0.4216430187225342,2567.5035912609424,2179.9055884576615,0.9707905994449326,0.06054251709579311,0.0713072762831925,2987.312695050738,2538.656394909275,0.963064585251341,0.06909894337173353,0.08131078753426517,2671.661633453343,2321.911359627016,0.9677661637828693,0.0631342453848172,0.07264417758770085
